"state_code","race","within_none","within_primaryacute_only","within_compthromb","within_any"
"AL","Total",0.182288166098225,0.448443296046291,0.369268537855484,0.817711833901775
"AL","Black",0.209772701787191,0.37858176157929,0.411645536633519,0.790227298212809
"AL","White",0.177061389083468,0.47069019105597,0.352248419860562,0.822938610916532
"AR","Total",0.424532940979625,0.111917690879353,0.463549368141022,0.575467059020375
"AR","Black",0.371090636880974,0.0740831941164382,0.554826169002588,0.628909363119026
"AR","White",0.448939580056089,0.113755776186983,0.437304643756928,0.551060419943911
"GA","Total",0.0628735834584131,0.318436579070297,0.61868983747129,0.937126416541587
"GA","Black",0.0515876940313154,0.273376663199398,0.675035642769286,0.948412305968685
"GA","White",0.0743761090192809,0.36185561850774,0.563768272472979,0.925623890980719
"IL","Total",0.0426854502402122,0.100658355204814,0.856656194554974,0.957314549759788
"IL","Black",0.00878530090886309,0.0400237912081889,0.951190907882948,0.991214699091137
"IL","White",0.0560077930730847,0.126414372675534,0.817577834251381,0.943992206926915
"KY","Total",0.105009665840717,0.371807769971298,0.523182564187985,0.894990334159283
"KY","Black",0.0669018211824129,0.168720840547851,0.764377338269736,0.933098178817587
"KY","White",0.110994898249291,0.396257605981276,0.492747495769433,0.889005101750709
"LA","Total",0.18619841514944,0.460132942047622,0.353668642802937,0.81380158485056
"LA","Black",0.16419411857031,0.430826489360642,0.404979392069049,0.83580588142969
"LA","White",0.197642139567964,0.481656384630094,0.320701475801941,0.802357860432036
"MO","Total",0.140899045808303,0.190063352834992,0.669037601356705,0.859100954191697
"MO","Black",0.0390876029017593,0.0543084097878864,0.906603987310354,0.960912397098241
"MO","White",0.158606022905254,0.212300817371518,0.629093159723228,0.841393977094746
"MS","Total",0.315802137888523,0.396328584158755,0.287869277952723,0.684197862111477
"MS","Black",0.368450289780246,0.296327374095204,0.33522233612455,0.631549710219754
"MS","White",0.284205749628116,0.458451935572414,0.25734231479947,0.715794250371884
"NC","Total",0.0139100213601115,0.296179869875913,0.689910108763976,0.986089978639888
"NC","Black",0.00646589964570465,0.280270855513542,0.713263244840754,0.993534100354295
"NC","White",0.0170466462732303,0.300458008058756,0.682495345668014,0.98295335372677
"NY","Total",0.067166837580542,0.0896686942179651,0.843164468201493,0.932833162419458
"NY","Black",0.0127095130036332,0.0396896964635496,0.947600790532817,0.987290486996367
"NY","White",0.0962019844659675,0.118060507545358,0.785737507988675,0.903798015534032
"OH","Total",0.0178238666543721,0.225957140028374,0.756218993317254,0.982176133345628
"OH","Black",0.00205633013794337,0.0739495679637875,0.923994101898269,0.997943669862057
"OH","White",0.0211021035365405,0.256609969627903,0.722287926835557,0.978897896463459
"PA","Total",0.0120263685003458,0.208083083491914,0.77989054800774,0.987973631499654
"PA","Black",0.00210472890165947,0.0630337978169035,0.934861473281437,0.997895271098341
"PA","White",0.0142907033432579,0.238319125764663,0.747390170892079,0.985709296656742
"SC","Total",0.0029685826925262,0.281748643015888,0.715282774291586,0.997031417307474
"SC","Black",0.00235405496313312,0.344655243926627,0.65299070111024,0.997645945036867
"SC","White",0.0033399069601292,0.263398369043148,0.733261723996723,0.996660093039871
"TN","Total",0.0778028410207211,0.226781832349748,0.695415326629531,0.922197158979279
"TN","Black",0.0388328640081147,0.121946269594274,0.839220866397611,0.961167135991885
"TN","White",0.0876126239596905,0.254106734673966,0.658280641366344,0.91238737604031
"VA","Total",0.0386291199278701,0.285894268818485,0.675476611253645,0.96137088007213
"VA","Black",0.0232486687483511,0.215720619703084,0.761030711548565,0.976751331251649
"VA","White",0.0487294800852862,0.334211015184269,0.617059504730445,0.951270519914714
"WV","Total",0.249917409437565,0.355579727786945,0.39450286277549,0.750082590562435
"WV","Black",0.161969249745818,0.404575525072387,0.433455225181795,0.838030750254182
"WV","White",0.25714946152614,0.352777131057929,0.390073407415932,0.74285053847386
