"region","race","within_none","within_primaryacute_only","within_compthromb","within_any"
"Appalachia","Total",0.111726830676053,0.400363524468532,0.487909644855415,0.888273169323947
"Appalachia","Black",0.107688512805712,0.285602488241766,0.606708998952522,0.892311487194288
"Appalachia","White",0.115276310455881,0.418656403282291,0.466067286261827,0.884723689544119
"Mississippi Delta","Total",0.312281977694344,0.335988618208415,0.351729404097241,0.687718022305656
"Mississippi Delta","Black",0.264737826975444,0.262116293124581,0.473145879899975,0.735262173024556
"Mississippi Delta","White",0.342891522116806,0.376677489629854,0.280430988253339,0.657108477883194
